lat,lon,00:00Z 2026-09-19,00:00Z 2026-09-20,00:00Z 2026-09-21,00:00Z 2026-09-22,00:00Z 2026-09-23,00:00Z 2026-09-24,00:00Z 2026-09-25,00:00Z 2026-09-26,00:00Z 2026-09-27
4.007606,96.03485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.007606,96.11799,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.007606,96.201126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.007606,96.28426,0.019999999552965164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.007606,96.36739,0.07000000029802322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.007606,96.45053,0.07000000029802322,0.0,0.0,0.0,0.1599999964237213,0.0,0.0,0.0,0.0
4.007606,96.53367,0.05999999865889549,0.0,0.0,0.009999999776482582,0.03999999910593033,0.0,0.0,0.0,0.0
4.007606,96.616806,0.03999999910593033,0.0,0.0,0.03999999910593033,0.0,0.07000000029802322,0.0,0.0,0.0
4.007606,96.69994,0.019999999552965164,0.009999999776482582,0.0,0.23999999463558197,0.009999999776482582,0.44999998807907104,0.0,0.0,0.0
4.007606,96.78308,0.20000000298023224,0.3100000023841858,0.009999999776482582,0.9399999976158142,0.0,3.559999942779541,0.3499999940395355,0.0,0.0
4.007606,96.86621,0.5400000214576721,0.03999999910593033,0.0,1.2200000286102295,0.009999999776482582,4.809999942779541,1.350000023841858,0.0,0.0
4.007606,96.94935,0.4099999964237213,0.0,0.0,1.309999942779541,0.019999999552965164,2.4100000858306885,3.890000104904175,0.0,0.0
4.007606,97.032486,0.7200000286102295,0.0,0.0,1.9800000190734863,0.03999999910593033,1.159999966621399,9.569999694824219,0.07000000029802322,0.0
4.007606,97.11562,1.4199999570846558,0.0,0.18000000715255737,2.119999885559082,0.09000000357627869,1.0700000524520874,12.770000457763672,0.3400000035762787,0.009999999776482582
4.007606,97.19876,2.2300000190734863,0.03999999910593033,0.5,2.2799999713897705,0.20000000298023224,1.190000057220459,7.550000190734863,0.5099999904632568,0.009999999776482582
4.007606,97.28189,3.5,0.07000000029802322,0.7799999713897705,2.0899999141693115,0.009999999776482582,2.440000057220459,2.9600000381469727,0.6200000047683716,0.0
4.007606,97.36503,5.480000019073486,0.1599999964237213,1.3200000524520874,7.650000095367432,0.0,6.860000133514404,3.619999885559082,0.6899999976158142,0.0
4.007606,97.448166,5.679999828338623,0.25,1.7000000476837158,15.539999961853027,0.0,5.110000133514404,7.909999847412109,0.6499999761581421,0.009999999776482582
4.007606,97.5313,6.079999923706055,0.3100000023841858,2.3499999046325684,8.890000343322754,0.019999999552965164,1.1200000047683716,4.460000038146973,1.059999942779541,0.05000000074505806
4.007606,97.61444,5.440000057220459,0.20000000298023224,2.2300000190734863,1.3700000047683716,0.09000000357627869,0.49000000953674316,0.6499999761581421,0.8899999856948853,0.05000000074505806
4.007606,97.69757,6.960000038146973,0.25,2.2899999618530273,0.30000001192092896,0.1599999964237213,0.5600000023841858,0.4000000059604645,0.25999999046325684,0.10999999940395355
4.007606,97.78071,9.6899995803833,0.6800000071525574,1.0399999618530273,0.6800000071525574,0.029999999329447746,3.640000104904175,0.05999999865889549,0.019999999552965164,0.20999999344348907
4.007606,97.863846,15.329999923706055,1.440000057220459,0.07999999821186066,1.9800000190734863,0.009999999776482582,4.590000152587891,0.0,0.019999999552965164,0.41999998688697815
4.007606,97.94698,17.219999313354492,1.340000033378601,0.009999999776482582,0.3400000035762787,0.0,1.1200000047683716,0.0,0.0,1.5800000429153442
4.007606,98.03012,16.3799991607666,0.6499999761581421,0.17000000178813934,0.05999999865889549,0.0,0.03999999910593033,0.0,0.0,4.159999847412109
4.007606,98.11325,18.1200008392334,0.15000000596046448,0.029999999329447746,0.3700000047683716,0.0,0.05999999865889549,0.0,0.0,6.820000171661377
4.007606,98.19639,18.40999984741211,0.009999999776482582,0.0,0.05000000074505806,0.0,0.09000000357627869,0.0,0.0,9.819999694824219
4.007606,98.279526,17.729999542236328,0.0,0.0,0.0,0.0,0.07000000029802322,0.0,0.0,6.849999904632568
4.007606,98.36266,9.819999694824219,0.0,0.0,0.0,0.0,0.07000000029802322,0.0,0.0,1.7100000381469727
4.007606,98.4458,5.639999866485596,0.0,0.0,0.0,0.0,0.07000000029802322,0.0,0.0,0.10999999940395355
4.007606,98.52893,3.990000009536743,0.0,0.0,0.0,0.0,0.09000000357627869,0.0,0.0,0.0
4.007606,98.612076,3.2799999713897705,0.0,0.019999999552965164,0.0,0.0,0.14000000059604645,0.0,0.0,0.0
4.007606,98.695206,3.069999933242798,0.0,0.05999999865889549,0.0,0.03999999910593033,0.1899999976158142,0.0,0.0,0.0
4.007606,98.77834,3.4000000953674316,0.0,0.0,0.0,0.0,0.25999999046325684,0.0,0.0,0.0
4.007606,98.86148,4.429999828338623,0.0,0.0,0.0,0.0,0.3400000035762787,0.0,0.0,0.0
4.007606,98.94461,5.860000133514404,0.0,0.009999999776482582,0.0,0.009999999776482582,0.4300000071525574,0.0,0.0,0.0
4.007606,99.027756,6.690000057220459,0.0,0.009999999776482582,0.0,0.0,0.5600000023841858,0.0,0.0,0.0
4.007606,99.110886,6.949999809265137,0.0,0.0,0.0,0.0,0.7599999904632568,0.0,0.0,0.0
4.007606,99.19402,7.070000171661377,0.0,0.009999999776482582,0.0,0.0,0.7099999785423279,0.0,0.0,0.0
4.007606,99.27716,7.380000114440918,0.0,0.0,0.0,0.009999999776482582,0.28999999165534973,0.0,0.009999999776482582,0.0
4.007606,99.36029,8.180000305175781,0.0,0.0,0.0,0.0,0.07999999821186066,0.0,0.029999999329447746,0.0
4.007606,99.443436,8.960000038146973,0.0,0.0,0.0,0.0,0.029999999329447746,0.0,0.009999999776482582,0.0
4.007606,99.526566,9.329999923706055,0.0,0.0,0.0,0.0,0.009999999776482582,0.0,0.0,0.0
4.007606,99.6097,9.09000015258789,0.0,0.0,0.0,0.0,0.019999999552965164,0.0,0.0,0.0
4.007606,99.69284,8.140000343322754,0.0,0.0,0.0,0.0,0.029999999329447746,0.0,0.0,0.0
4.007606,99.77597,6.789999961853027,0.0,0.0,0.0,0.0,0.009999999776482582,0.0,0.0,0.0
4.007606,99.8591,5.610000133514404,0.0,0.0,0.0,0.0,0.009999999776482582,0.0,0.0,0.0
4.007606,99.942245,4.679999828338623,0.0,0.0,0.0,0.0,0.029999999329447746,0.0,0.0,0.0
4.007606,100.02538,4.090000152587891,0.0,0.0,0.0,0.0,0.029999999329447746,0.009999999776482582,0.0,0.0
4.007606,100.10852,3.740000009536743,0.0,0.0,0.0,0.0,0.019999999552965164,0.03999999910593033,0.019999999552965164,0.0
4.007606,100.19165,3.3499999046325684,0.0,0.0,0.0,0.0,0.05999999865889549,0.07000000029802322,0.019999999552965164,0.0
4.007606,100.27478,2.7899999618530273,0.0,0.0,0.0,0.0,0.019999999552965164,0.019999999552965164,0.05000000074505806,0.0
