lat,lon,00:00Z 2026-09-19,00:00Z 2026-09-20
5.222946,96.8385,0.0,0.0
5.222946,96.86621,0.0,0.0
5.222946,96.89392,0.0,0.0
5.222946,96.92164,0.0,0.0
5.222946,96.94935,0.0,0.0
5.222946,96.97706,0.0,0.0
5.222946,97.004776,0.0,0.0
5.222946,97.032486,0.0,0.0
5.222946,97.06019,0.0,0.0
5.222946,97.087906,0.0,0.0
5.222946,97.11562,0.0,0.0
5.222946,97.14333,0.0,0.0
5.222946,97.17104,0.0,0.0
5.222946,97.19875,0.0,0.0
5.222946,97.22647,0.0,0.0
5.222946,97.25418,0.0,0.0
5.222946,97.28189,0.0,0.0
5.222946,97.3096,0.0,0.0
5.222946,97.33732,0.0,0.0
5.222946,97.36503,0.0,0.0
5.222946,97.39274,0.0,0.0
5.222946,97.420456,0.0,0.0
5.222946,97.448166,0.0,0.0
5.222946,97.47587,0.0,0.0
5.222946,97.503586,0.0,0.0
5.222946,97.5313,0.0,0.0
5.222946,97.55901,0.0,0.0
5.222946,97.58672,0.0,0.0
5.222946,97.61443,0.0,0.0
5.222946,97.64215,0.0,0.0
5.222946,97.66986,0.0,0.0
5.222946,97.69757,0.0,0.0
5.222946,97.72528,0.0,0.0
5.222946,97.753,0.0,0.0
5.222946,97.78071,0.0,0.0
5.222946,97.80842,0.0,0.0
5.222946,97.836136,0.0,0.0
5.222946,97.863846,0.0,0.0
5.222946,97.891556,0.0,0.0
5.222946,97.919266,0.0,0.0
5.222946,97.94698,0.0,0.0
5.222946,97.97469,0.0,0.0
5.222946,98.0024,0.0,0.0
5.222946,98.03011,0.0,0.0
5.222946,98.05783,0.0,0.0
5.222946,98.08554,0.0,0.0
5.222946,98.11325,0.0,0.0
5.222946,98.14096,0.0,0.0
5.222946,98.16868,0.0,0.0
5.222946,98.19639,0.0,0.0
5.222946,98.2241,0.0,0.0
5.222946,98.251816,0.0,0.0
5.222946,98.279526,0.0,0.0
5.222946,98.307236,0.0,0.0
5.222946,98.334946,0.0,0.0
5.222946,98.36266,0.0,0.0
5.222946,98.39037,0.0,0.0
5.222946,98.41808,0.0,0.0
5.222946,98.44579,0.0,0.0
5.222946,98.47351,0.0,0.0
5.222946,98.50122,0.0,0.0
5.222946,98.52893,0.0,0.0
5.222946,98.55665,0.0,0.0
5.222946,98.58436,0.0,0.0
5.222946,98.612076,0.0,0.0
5.222946,98.63978,0.0,0.0
5.222946,98.667496,0.0,0.0
5.222946,98.695206,0.0,0.0
5.222946,98.722916,0.0,0.0
5.222946,98.750626,0.0,0.0
5.222946,98.77834,0.0,0.0
5.222946,98.80605,0.0,0.0
5.222946,98.83376,0.0,0.0
5.222946,98.86147,0.0,0.0
5.222946,98.88919,0.0,0.0
5.222946,98.9169,0.0,0.0
5.222946,98.94461,0.0,0.0
5.222946,98.97233,0.0,0.0
5.222946,99.00004,0.0,0.0
5.222946,99.027756,0.0,0.0
5.222946,99.05546,0.0,0.0
5.222946,99.083176,0.0,0.0
5.222946,99.110886,0.0,0.0
5.222946,99.138596,0.0,0.0
5.222946,99.166306,0.0,0.0
5.222946,99.19402,0.0,0.0
5.222946,99.22173,0.0,0.0
5.222946,99.24944,0.0,0.0
5.222946,99.27716,0.0,0.0
5.222946,99.30487,0.0,0.0
5.222946,99.33258,0.0,0.0
5.222946,99.36029,0.0,0.0
5.222946,99.38801,0.0,0.0
5.222946,99.41572,0.0,0.0
5.222946,99.443436,0.0,0.0
5.222946,99.47114,0.0,0.0
5.222946,99.498856,0.0,0.0
5.222946,99.526566,0.0,0.0
5.222946,99.554276,0.0,0.0
5.222946,99.581985,0.0,0.0
5.222946,99.6097,0.0,0.0
5.222946,99.63741,0.0,0.0
5.222946,99.66512,0.0,0.0
5.222946,99.69284,0.0,0.0
5.222946,99.72055,0.0,0.0
5.222946,99.74826,0.0,0.0
5.222946,99.77597,0.0,0.0
5.222946,99.80369,0.0,0.0
5.222946,99.8314,0.0,0.0
5.222946,99.8591,0.0,0.0
5.222946,99.88682,0.0,0.0
5.222946,99.914536,0.0,0.0
5.222946,99.942245,0.0,0.0
5.222946,99.969955,0.0,0.0
5.222946,99.997665,0.0,0.0
5.222946,100.02538,0.0,0.0
5.222946,100.05309,0.0,0.0
5.222946,100.0808,0.0,0.0
5.222946,100.10852,0.0,0.0
5.222946,100.13623,0.0,0.0
5.222946,100.16394,0.0,0.0
5.222946,100.19165,0.0,0.0
5.222946,100.21937,0.0,0.0
5.222946,100.24708,0.0,0.0
5.222946,100.27478,0.0,0.0
5.222946,100.3025,0.0,0.0
5.222946,100.330215,0.0,0.0
5.222946,100.357925,0.0,0.0
5.222946,100.385635,0.0,0.0
5.222946,100.413345,0.0,0.0
5.222946,100.44106,0.0,0.0
5.222946,100.46877,0.0,0.0
5.222946,100.49648,0.0,0.0
5.222946,100.5242,0.0,0.0
5.222946,100.55191,0.0,0.0
5.222946,100.57962,0.0,0.0
5.222946,100.60733,0.0,0.0
5.222946,100.63505,0.0,0.0
5.222946,100.66276,0.0,0.0
5.222946,100.69046,0.0,0.0
5.222946,100.71818,0.0,0.0
5.222946,100.745895,0.0,0.0
5.222946,100.773605,0.0,0.0
5.222946,100.801315,0.0,0.0
5.222946,100.829025,0.0,0.0
5.222946,100.85674,0.0,0.0
5.222946,100.88445,0.0,0.0
5.222946,100.91216,0.0,0.0
5.222946,100.93988,0.0,0.0
5.222946,100.96759,0.0,0.0
5.222946,100.9953,0.0,0.0
5.222946,101.02301,0.0,0.0
5.222946,101.05073,0.0,0.0
5.222946,101.07844,0.0,0.0
5.222946,101.10615,0.0,0.0
5.222946,101.13386,0.0,0.0
5.222946,101.161575,0.0,0.0
5.222946,101.189285,0.0,0.0
5.222946,101.216995,0.0,0.0
5.222946,101.24471,0.0,0.0
5.222946,101.27242,0.0,0.0
5.222946,101.30013,0.0,0.0
5.222946,101.32784,0.0,0.0
5.222946,101.35556,0.0,0.0
5.222946,101.38327,0.0,0.0
5.222946,101.41098,0.0,0.0
5.222946,101.43869,0.0,0.0
5.222946,101.46641,0.0,0.0
5.222946,101.49412,0.0,0.0
5.222946,101.52183,0.0,0.0
5.222946,101.54954,0.0,0.0
5.222946,101.577255,0.0,0.0
5.222946,101.604965,0.0,0.0
5.222946,101.632675,0.0,0.0
5.222946,101.66039,0.0,0.0
5.222946,101.6881,0.0,0.0
5.222946,101.71581,0.0,0.0
5.222946,101.74352,0.0,0.0
5.222946,101.77124,0.0,0.0
5.222946,101.79895,0.0,0.0
5.222946,101.82667,0.0,0.0
5.222946,101.85437,0.0,0.0
5.222946,101.88209,0.0,0.0
5.222946,101.9098,0.0,0.0
5.222946,101.93751,0.0,0.0
5.222946,101.96522,0.0,0.0
5.222946,101.992935,0.0,0.0
5.222946,102.020645,0.0,0.0
5.222946,102.048355,0.0,0.0
5.222946,102.07607,0.0,0.0
5.222946,102.10378,0.0,0.0
5.222946,102.13149,0.0,0.0
5.222946,102.1592,0.0,0.0
5.222946,102.18692,0.0,0.0
5.222946,102.21463,0.0,0.0
5.222946,102.24235,0.0,0.0
5.222946,102.27005,0.0,0.0
5.222946,102.29777,0.0,0.0
5.222946,102.32548,0.0,0.0
5.222946,102.35319,0.0,0.0
5.222946,102.380905,0.0,0.0
5.222946,102.408615,0.0,0.0
5.222946,102.436325,0.0,0.0
5.222946,102.464035,0.0,0.0
5.222946,102.49175,0.0,0.0
5.222946,102.51946,0.0,0.0
5.222946,102.54717,0.0,0.0
5.222946,102.57488,0.0,0.0
5.222946,102.6026,0.0,0.0
5.222946,102.63031,0.0,0.0
5.222946,102.65803,0.0,0.0
5.222946,102.68573,0.0,0.0
5.222946,102.71345,0.0,0.0
5.222946,102.74116,0.0,0.0
5.222946,102.76887,0.0,0.0
5.222946,102.796585,0.0,0.0
5.222946,102.824295,0.0,0.0
5.222946,102.852005,0.0,0.0
5.222946,102.879715,0.0,0.0
5.222946,102.90743,0.0,0.0
5.222946,102.93514,0.0,0.0
5.222946,102.96285,0.0,0.0
5.222946,102.99056,0.0,0.0
5.222946,103.01828,0.0,0.0
5.222946,103.04599,0.0,0.0
5.222946,103.07369,0.0,0.0
5.222946,103.10141,0.0,0.0
5.222946,103.12913,0.0,0.0
5.222946,103.15684,0.0,0.0
5.222946,103.18455,0.0,0.0
5.222946,103.212265,0.0,0.0
5.222946,103.239975,0.0,0.0
5.222946,103.267685,0.0,0.0
5.222946,103.295395,0.0,0.0
5.222946,103.32311,0.0,0.0
5.222946,103.35082,0.0,0.0
5.222946,103.37853,0.0,0.0
5.222946,103.40624,0.0,0.0
5.222946,103.43396,0.0,0.0
5.222946,103.46167,0.0,0.0
5.222946,103.48937,0.0,0.0
5.222946,103.51709,0.0,0.0
5.222946,103.54481,0.0,0.0
5.222946,103.57252,0.0,0.0
5.222946,103.60023,0.0,0.0
5.222946,103.627945,0.0,0.0
5.222946,103.655655,0.0,0.0
5.222946,103.683365,0.0,0.0
5.222946,103.711075,0.0,0.0
5.222946,103.73879,0.0,0.0
5.222946,103.7665,0.0,0.0
5.222946,103.79421,0.0,0.0
5.222946,103.82192,0.0,0.0
5.222946,103.84964,0.0,0.0
5.222946,103.87735,0.0,0.0
5.222946,103.90506,0.0,0.0
5.222946,103.93277,0.0,0.0
5.222946,103.96049,0.0,0.0
5.222946,103.9882,0.0,0.0
5.222946,104.01591,0.0,0.0
5.222946,104.043625,0.0,0.0
5.222946,104.071335,0.0,0.0
5.222946,104.099045,0.0,0.0
5.222946,104.126755,0.0,0.0
5.222946,104.15447,0.0,0.0
5.222946,104.18218,0.0,0.0
5.222946,104.20989,0.0,0.0
5.222946,104.2376,0.0,0.0
5.222946,104.26532,0.0,0.0
5.222946,104.29303,0.0,0.0
5.222946,104.32074,0.0,0.0
5.222946,104.34846,0.0,0.0
5.222946,104.37617,0.0,0.0
5.222946,104.40388,0.0,0.0
5.222946,104.43159,0.0,0.0
5.222946,104.459305,0.0,0.0
5.222946,104.487015,0.0,0.0
5.222946,104.514725,0.0,0.0
5.222946,104.542435,0.0,0.0
5.222946,104.57015,0.0,0.0
5.222946,104.59786,0.0,0.0
5.222946,104.62557,0.0,0.0
5.222946,104.65328,0.0,0.0
5.222946,104.681,0.0,0.0
5.222946,104.70871,0.0,0.0
5.222946,104.73642,0.0,0.0
5.222946,104.76414,0.0,0.0
5.222946,104.79185,0.0,0.0
5.222946,104.81956,0.0,0.0
5.222946,104.84727,0.0,0.0
5.222946,104.874985,0.0,0.0
5.222946,104.902695,0.0,0.0
5.222946,104.930405,0.0,0.0
5.222946,104.958115,0.0,0.0
5.222946,104.98583,0.0,0.0
5.222946,105.01354,0.0,0.0
5.222946,105.04126,0.0,0.0
5.222946,105.06897,0.0,0.0
5.222946,105.09668,0.0,0.0
5.222946,105.12439,0.0,0.0
5.222946,105.1521,0.0,0.0
5.222946,105.17982,0.0,0.0
5.222946,105.20753,0.0,0.0
5.222946,105.23524,0.0,0.0
5.222946,105.26295,0.0,0.0
5.222946,105.290665,0.0,0.0
5.222946,105.318375,0.0,0.0
5.222946,105.346085,0.0,0.0
5.222946,105.373795,0.0,0.0
5.222946,105.40151,0.0,0.0
5.222946,105.42922,0.0,0.0
5.222946,105.45694,0.0,0.0
5.222946,105.48465,0.0,0.0
5.222946,105.51236,0.0,0.0
5.222946,105.54007,0.0,0.0
5.222946,105.56778,0.0,0.0
5.222946,105.5955,0.0,0.0
5.222946,105.62321,0.0,0.0
5.222946,105.65092,0.0,0.0
5.222946,105.67863,0.0,0.0
5.222946,105.706345,0.0,0.0
5.222946,105.734055,0.0,0.0
5.222946,105.761765,0.0,0.0
5.222946,105.789474,0.0,0.0
5.222946,105.81719,0.0,0.0
5.222946,105.8449,0.0,0.0
5.222946,105.872604,0.0,0.0
5.222946,105.90033,0.0,0.0
5.222946,105.92804,0.0,0.0
5.222946,105.95575,0.0,0.0
5.222946,105.98346,0.0,0.0
5.250542,96.8385,0.0,0.0
5.250542,96.86621,1.0800000429153442,0.0
5.250542,96.89392,1.0499999523162842,0.0
5.250542,96.92164,0.8999999761581421,0.0
5.250542,96.94935,0.8899999856948853,0.0
5.250542,96.97706,0.9300000071525574,0.0
5.250542,97.004776,1.0099999904632568,0.0
5.250542,97.032486,1.1100000143051147,0.0
5.250542,97.06019,1.2200000286102295,0.0
5.250542,97.087906,1.340000033378601,0.0
5.250542,97.11562,1.6399999856948853,0.0
5.250542,97.14333,2.0999999046325684,0.0
5.250542,97.17104,2.880000114440918,0.0
5.250542,97.19875,3.390000104904175,0.0
5.250542,97.22647,3.380000114440918,0.0
5.250542,97.25418,3.0299999713897705,0.0
5.250542,97.28189,2.6700000762939453,0.0
